"0.000","Info","2020-08-03 17:28:45","Service 'cocc_96' : Execution start"
"0.000","Info","Apparatus","Zantiks AD internal Unit"
"0.000","Info","Unit ID","3C208A"
"TIME","TEMPERATURE","VARIABLE","TREATMENT","SERIES","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","ARENA_ACTIVITY","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4"
"3931.739",,"ARENA_DISTANCES","DARK",65,0,0,0,311,141,0,0,586,0,0,0,124,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000137,0.000000,0.000000,0.000000,0.031494,0.000000,0.000000,0.000000,0.006271
"3991.766",,"ARENA_DISTANCES","DARK",66,0,0,0,64,0,0,199,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021057,0.000000,0.000000,0.000000,0.000000,0.001129
"4051.783",,"ARENA_DISTANCES","DARK",67,0,0,506,181,0,0,128,400,0,0,0,6,"ARENA_ACTIVITY",0.000000,0.000000,0.058975,2.062378,0.000000,0.000000,0.003220,0.664749,0.000000,0.000000,0.000000,0.000000
"4111.811",,"ARENA_DISTANCES","DARK",68,0,0,531,53,0,0,6,308,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.002319,5.768326,0.000000,0.000000,0.000000,0.005951,0.000000,0.000000,0.000000,0.000000
"4171.859",,"ARENA_DISTANCES","DARK",69,0,0,75,12,0,0,0,32,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.062943,0.000000,0.000000,0.000000,0.031372,0.000000,0.000000,0.000000,0.000000
"4231.885",,"ARENA_DISTANCES","DARK",70,0,0,136,0,0,0,0,51,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.002304,0.015991,0.000000,0.000000,0.000000,0.140610,0.000000,0.000000,0.000000,0.000000
"4291.903",,"ARENA_DISTANCES","DARK",71,0,0,282,0,0,0,0,13,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"4351.927",,"ARENA_DISTANCES","DARK",72,0,0,0,0,0,0,0,110,0,0,0,90,"ARENA_ACTIVITY",0.000000,0.000000,0.000656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"4411.946",,"ARENA_DISTANCES","DARK",73,0,0,406,0,0,0,0,326,0,0,445,266,"ARENA_ACTIVITY",0.000000,0.000000,0.000092,0.000000,0.000000,0.000000,0.000000,2.596390,0.000000,0.000000,0.008423,0.035248
"4471.966",,"ARENA_DISTANCES","DARK",74,0,0,427,0,39,0,0,713,0,0,975,124,"ARENA_ACTIVITY",0.000000,0.000000,0.000092,0.000000,0.000000,0.000000,0.000000,0.001648,0.000000,0.000000,0.080200,0.001053
"4531.994",,"ARENA_DISTANCES","DARK",75,0,19,41,13,688,0,0,574,0,0,720,13,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.033936,0.004425,0.000000,0.000000,0.003571,0.000000,0.000000,0.037766,0.000076
"4592.013",,"ARENA_DISTANCES","DARK",76,0,0,0,18,885,0,0,736,0,0,616,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.040405,0.000824,0.000000,0.000000,0.011795,0.000000,0.000000,0.012039,0.000000
"4652.031",,"ARENA_DISTANCES","DARK",77,0,0,0,0,1254,0,0,710,0,0,607,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.001343,0.000000,0.000000,0.009491,0.000000,0.000000,0.089828,0.000000
"4712.053",,"ARENA_DISTANCES","DARK",78,0,0,0,0,1025,0,0,483,0,0,715,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.050995,0.000000,0.000000,0.011261,0.000000,0.000000,0.056595,0.000000
